zip,scope,key,n,min_us,median_us,p95_us,max_us,visible,fast_layer,kind,image_format,pixel_area,drawn_area,rotated,color_filtered,dyn_bound,text_length,parse_ms,apply_ms,res_count,res_bytes,svg_count
# default, 450x450, 30 reps, seconds pref true
analog_v3,encode,webp_90_240,5,51960,53333,54039,54106,true,true,webp_90,webp_90,57600,57600,false,false,false,13496,0,0,0,13496,0
analog_v3,encode,merge_1_240,5,1386,1573,1732,1732,true,true,merge_1,merge_1,57600,57600,false,false,false,230400,0,0,0,230400,0
analog_v3,encode,merge_2_240,5,1708,1857,1916,1917,true,true,merge_2,merge_2,57600,57600,false,false,false,230400,0,0,0,230400,0
analog_v3,encode,merge_3_240,5,1993,2045,2265,2311,true,true,merge_3,merge_3,57600,57600,false,false,false,230400,0,0,0,230400,0
analog_v3,encode,merge_4_240,5,2562,2646,2796,2826,true,true,merge_4,merge_4,57600,57600,false,false,false,230400,0,0,0,230400,0
analog_v3,encode,merge_6_240,5,2889,3110,3244,3245,true,true,merge_6,merge_6,57600,57600,false,false,false,230400,0,0,0,230400,0
analog_v3,encode,copy_120,5,418,458,464,464,true,true,copy,copy,14400,14400,false,false,false,57600,0,0,0,57600,0
analog_v3,encode,png_120,5,10411,10603,10731,10733,true,true,png,png,14400,14400,false,false,false,6388,0,0,0,6388,0
analog_v3,encode,webp_lossless_120,5,5942,6288,7717,8043,true,true,webp_lossless,webp_lossless,14400,14400,false,false,false,4098,0,0,0,4098,0
analog_v3,encode,webp_90_120,5,13896,14062,14559,14652,true,true,webp_90,webp_90,14400,14400,false,false,false,3432,0,0,0,3432,0
analog_v3,encode,merge_1_120,5,509,540,600,612,true,true,merge_1,merge_1,14400,14400,false,false,false,57600,0,0,0,57600,0
analog_v3,encode,merge_2_120,5,585,604,665,675,true,true,merge_2,merge_2,14400,14400,false,false,false,57600,0,0,0,57600,0
analog_v3,encode,merge_3_120,5,673,707,782,799,true,true,merge_3,merge_3,14400,14400,false,false,false,57600,0,0,0,57600,0
analog_v3,encode,merge_4_120,5,807,834,1039,1052,true,true,merge_4,merge_4,14400,14400,false,false,false,57600,0,0,0,57600,0
analog_v3,encode,merge_6_120,5,953,985,1057,1072,true,true,merge_6,merge_6,14400,14400,false,false,false,57600,0,0,0,57600,0
analog_v3,encode,copy_60,5,159,178,186,188,true,true,copy,copy,3600,3600,false,false,false,14400,0,0,0,14400,0
analog_v3,encode,png_60,5,3495,3548,3688,3700,true,true,png,png,3600,3600,false,false,false,2714,0,0,0,2714,0
analog_v3,encode,webp_lossless_60,5,2866,2922,3084,3118,true,true,webp_lossless,webp_lossless,3600,3600,false,false,false,1682,0,0,0,1682,0
analog_v3,encode,webp_90_60,5,4830,4904,5119,5168,true,true,webp_90,webp_90,3600,3600,false,false,false,1728,0,0,0,1728,0
analog_v3,encode,merge_1_60,5,219,242,460,510,true,true,merge_1,merge_1,3600,3600,false,false,false,14400,0,0,0,14400,0
analog_v3,encode,merge_2_60,5,230,261,427,441,true,true,merge_2,merge_2,3600,3600,false,false,false,14400,0,0,0,14400,0
analog_v3,encode,merge_3_60,5,263,279,335,340,true,true,merge_3,merge_3,3600,3600,false,false,false,14400,0,0,0,14400,0
analog_v3,encode,merge_4_60,5,342,368,463,466,true,true,merge_4,merge_4,3600,3600,false,false,false,14400,0,0,0,14400,0
analog_v3,encode,merge_6_60,5,373,385,396,398,true,true,merge_6,merge_6,3600,3600,false,false,false,14400,0,0,0,14400,0
